distance,perc,amenity
0.5135,8.23723229,supermarket
0.5138,8.256396134,supermarket
0.5141,8.265092333,supermarket
0.5146,8.265414414,supermarket
0.5155,8.271695002,supermarket
0.5157,8.283450974,supermarket
0.5162,8.300038167,supermarket
0.5162,8.303420022,supermarket
0.5164,8.311311016,supermarket
0.5165,8.313565586,supermarket
0.5165,8.320812418,supermarket
0.5166,8.335467123,supermarket
0.5167,8.340620425,supermarket
0.5169,8.361394677,supermarket
0.5172,8.364615491,supermarket
0.5173,8.370251916,supermarket
0.5173,8.421623902,supermarket
0.5174,8.431286345,supermarket
0.5183,8.433540915,supermarket
0.5185,8.442237113,supermarket
0.5188,8.446424172,supermarket
0.5191,8.451255393,supermarket
0.5199,8.45979055,supermarket
0.52,8.46639322,supermarket
0.5206,8.483463535,supermarket
0.5209,8.487650593,supermarket
0.521,8.491676611,supermarket
0.5211,8.507136519,supermarket
0.5214,8.520502898,supermarket
0.5218,8.525173079,supermarket
0.5219,8.532097829,supermarket
0.5221,8.545625249,supermarket
0.5222,8.562051401,supermarket
0.5228,8.568976151,supermarket
0.523,8.591521851,supermarket
0.5231,8.604566148,supermarket
0.5231,8.622602708,supermarket
0.5236,8.634680761,supermarket
0.5237,8.635969087,supermarket
0.5244,8.637257412,supermarket
0.5247,8.651428995,supermarket
0.525,8.678483834,supermarket
0.5254,8.699580167,supermarket
0.5257,8.715362156,supermarket
0.5263,8.71616736,supermarket
0.5263,8.733076634,supermarket
0.5264,8.747409258,supermarket
0.5271,8.763352288,supermarket
0.5275,8.777845952,supermarket
0.5276,8.788152557,supermarket
0.5279,8.807799524,supermarket
0.528,8.823581513,supermarket
0.528,8.82503088,supermarket
0.5286,8.826802327,supermarket
0.5288,8.834049159,supermarket
0.5291,8.857400062,supermarket
0.5295,8.876724947,supermarket
0.5297,8.877208069,supermarket
0.5298,8.885099064,supermarket
0.5311,8.885421146,supermarket
0.5313,8.889447163,supermarket
0.5314,8.908127886,supermarket
0.5319,8.929385259,supermarket
0.5325,8.94323476,supermarket
0.5328,8.955634895,supermarket
0.5332,8.961593401,supermarket
0.5337,8.967873989,supermarket
0.5339,8.980113083,supermarket
0.5342,8.99299634,supermarket
0.5352,8.99992109,supermarket
0.5353,9.01360955,supermarket
0.5359,9.027942174,supermarket
0.5359,9.037282535,supermarket
0.5359,9.047428099,supermarket
0.536,9.048716425,supermarket
0.5361,9.069007554,supermarket
0.5364,9.081246648,supermarket
0.5366,9.083501218,supermarket
0.5368,9.089137643,supermarket
0.5377,9.094774068,supermarket
0.5378,9.110717098,supermarket
0.5379,9.126499088,supermarket
0.5379,9.158224107,supermarket
0.5382,9.16788655,supermarket
0.5387,9.17690483,supermarket
0.5388,9.181736051,supermarket
0.5389,9.19059329,supermarket
0.5393,9.21104546,supermarket
0.5394,9.312823189,supermarket
0.5396,9.32457916,supermarket
0.5397,9.333758481,supermarket
0.5402,9.358236669,supermarket
0.5411,9.384164223,supermarket
0.5418,9.384325264,supermarket
0.5421,9.387223996,supermarket
0.5426,9.396886439,supermarket
0.5429,9.420720464,supermarket
0.5429,9.439240146,supermarket
0.5433,9.453089647,supermarket
0.5439,9.456632542,supermarket
0.544,9.460819601,supermarket
0.544,9.478695119,supermarket
0.5442,9.489484847,supermarket
0.5445,9.514124075,supermarket
0.5447,9.519116337,supermarket
0.545,9.526846291,supermarket
0.5451,9.528456699,supermarket
0.5452,9.531194391,supermarket
0.5454,9.536508734,supermarket
0.5455,9.537313938,supermarket
0.5456,9.54021267,supermarket
0.5475,9.546010136,supermarket
0.5477,9.554062171,supermarket
0.549,9.555028416,supermarket
0.5491,9.566462306,supermarket
0.5492,9.664214017,supermarket
0.5496,9.667112749,supermarket
0.5497,9.68080121,supermarket
0.5498,9.706567723,supermarket
0.5507,9.738614824,supermarket
0.5507,9.751176,supermarket
0.5515,9.752947448,supermarket
0.552,9.760999483,supermarket
0.5523,9.764381338,supermarket
0.5531,9.792885544,supermarket
0.5531,9.79658948,supermarket
0.5532,9.798199887,supermarket
0.5532,9.799971335,supermarket
0.5543,9.811083144,supermarket
0.5546,9.847317303,supermarket
0.5547,9.858912234,supermarket
0.555,9.859556397,supermarket
0.5552,9.870668206,supermarket
0.5555,9.884356667,supermarket
0.5556,9.892408702,supermarket
0.5557,9.922684355,supermarket
0.5559,9.939915711,supermarket
0.5559,9.948450869,supermarket
0.556,9.959562678,supermarket
0.5561,9.97357322,supermarket
0.5565,9.980981092,supermarket
0.5568,9.990321453,supermarket
0.557,10.01834254,supermarket
0.5572,10.0225296,supermarket
0.5575,10.03251412,supermarket
0.5579,10.03557389,supermarket
0.558,10.03734534,supermarket
0.5583,10.04813507,supermarket
0.5585,10.06520538,supermarket
0.5585,10.07551199,supermarket
0.5587,10.0822757,supermarket
0.5587,10.09306543,supermarket
0.5589,10.11657737,supermarket
0.5589,10.12656189,supermarket
0.5593,10.14524262,supermarket
0.5596,10.1542609,supermarket
0.5598,10.16521166,supermarket
0.5609,10.17712868,supermarket
0.5609,10.18534175,supermarket
0.5613,10.20466664,supermarket
0.5618,10.22205903,supermarket
0.5619,10.23381501,supermarket
0.5619,10.30676645,supermarket
0.5627,10.32512509,supermarket
0.5628,10.32899007,supermarket
0.5629,10.33977979,supermarket
0.5634,10.35942676,supermarket
0.5635,10.38020101,supermarket
0.5639,10.38068413,supermarket
0.5643,10.38793097,supermarket
0.5646,10.38873617,supermarket
0.5647,10.40484024,supermarket
0.5648,10.4098325,supermarket
0.5652,10.42786906,supermarket
0.5652,10.42980155,supermarket
0.5655,10.43656526,supermarket
0.5656,10.45041476,supermarket
0.5658,10.5269091,supermarket
0.5658,10.53882611,supermarket
0.5661,10.54462358,supermarket
0.5666,10.54575086,supermarket
0.5668,10.54607294,supermarket
0.567,10.55686267,supermarket
0.5671,10.56201597,supermarket
0.5672,10.56539783,supermarket
0.5679,10.57763692,supermarket
0.568,10.58633312,supermarket
0.5689,10.59486828,supermarket
0.5697,10.59857221,supermarket
0.5701,10.6325518,supermarket
0.5703,10.66411578,supermarket
0.5706,10.66910804,supermarket
0.5707,10.67860945,supermarket
0.5712,10.68617836,supermarket
0.5713,10.68956021,supermarket
0.5714,10.69857849,supermarket
0.572,10.70598637,supermarket
0.5722,10.70646949,supermarket
0.5728,10.71452152,supermarket
0.5728,10.71967483,supermarket
0.5736,10.72257356,supermarket
0.5743,10.72434501,supermarket
0.575,10.73948283,supermarket
0.5751,10.79810165,supermarket
0.5751,10.80309391,supermarket
0.5753,10.80905242,supermarket
0.5756,10.8172655,supermarket
0.5762,10.82966563,supermarket
0.5766,10.83256436,supermarket
0.5767,10.85156717,supermarket
0.5769,10.85172821,supermarket
0.5772,10.8675102,supermarket
0.5775,10.87717264,supermarket
0.5777,10.90245603,supermarket
