geoid10,hospital,library,school,supermarket
245100701002000,1704.6,752.9,950.0,556.0
245100701002001,1732.5,780.8,977.9,583.9
245100701002002,1613.0,669.6,858.1,704.5
245100701002003,1557.6,614.3,803.1,703.7
245100701002004,1556.4,613.0,801.8,725.1
245100701002005,1431.2,487.8,676.3,599.9
245100701002006,1557.2,613.8,802.3,725.9
245100701002007,1311.5,547.1,557.0,480.3
245100701002008,1301.2,429.0,439.1,470.0
245100701002009,1356.6,373.9,493.7,525.4
245100701002010,1423.7,371.0,559.4,592.5
245100701002011,1481.9,429.7,618.1,649.6
245100701002012,1530.7,581.3,769.8,616.2
245100701002013,1661.8,588.5,777.0,524.7
245100701002014,1667.5,705.1,913.0,508.1
245100701002015,1880.0,634.7,883.3,437.8
245100702001000,1609.5,1030.5,838.9,778.3
245100702001002,1612.0,1232.0,857.4,780.8
245100702001003,1186.2,1410.4,488.4,712.3
245100702001004,1170.0,1335.5,472.2,637.3
245100702001005,1224.7,1279.5,526.9,581.4
245100702001006,1258.1,1243.2,560.6,545.1
245100702001007,1642.4,1262.4,887.9,811.2
245100702001008,1583.8,1203.7,829.2,752.5
245100702001009,1408.8,1086.9,711.0,635.7
245100702001010,1467.1,1087.1,712.6,635.9
