,pop_perc,distance,day,service,pop_perc_cum
19,0.47412436607147457,18,1,supermarket,99.4918253530137
20,0.5081746469862922,19,1,supermarket,99.99999999999999
0,0.0,0,2,supermarket,0.0
1,3.7590047135784657,0,2,supermarket,3.7590047135784657
2,13.870964554285207,1,2,supermarket,17.62996926786367
3,16.821644910422247,2,2,supermarket,34.45161417828592
4,21.423065901163078,3,2,supermarket,55.874680079449
5,10.217200114627904,4,2,supermarket,66.09188019407691
6,10.480053756534284,5,2,supermarket,76.5719339506112
7,7.7294781465853735,6,2,supermarket,84.30141209719658
8,2.3839639515005384,7,2,supermarket,86.68537604869711
9,2.0208108936035654,8,2,supermarket,88.70618694230068
10,1.656669664120478,9,2,supermarket,90.36285660642115
11,2.1008527920788165,10,2,supermarket,92.46370939849996
12,2.0272340089133074,11,2,supermarket,94.49094340741327
13,1.7495577932152138,12,2,supermarket,96.24050120062849
14,0.9570441811516152,13,2,supermarket,97.1975453817801
15,1.2604128580886786,14,2,supermarket,98.45795823986879
16,0.742610946964831,15,2,supermarket,99.20056918683362
17,0.5089083668488197,16,2,supermarket,99.70947755368243
18,0.27174718618140853,17,2,supermarket,99.98122473986385
19,0.0014822573791713194,18,2,supermarket,99.98270699724301
20,0.017293002756998722,19,2,supermarket,100.00000000000001
0,0.0,0,3,supermarket,0.0
1,3.7590047135784657,0,3,supermarket,3.7590047135784657
2,13.870964554285207,1,3,supermarket,17.62996926786367
3,16.821644910422247,2,3,supermarket,34.45161417828592
4,21.423065901163078,3,3,supermarket,55.874680079449
5,10.217200114627904,4,3,supermarket,66.09188019407691
6,10.480053756534284,5,3,supermarket,76.5719339506112
7,7.7294781465853735,6,3,supermarket,84.30141209719658
8,2.3839639515005384,7,3,supermarket,86.68537604869711
9,2.0208108936035654,8,3,supermarket,88.70618694230068
10,1.656669664120478,9,3,supermarket,90.36285660642115
11,2.1008527920788165,10,3,supermarket,92.46370939849996
12,2.0272340089133074,11,3,supermarket,94.49094340741327
13,1.7495577932152138,12,3,supermarket,96.24050120062849
14,0.9570441811516152,13,3,supermarket,97.1975453817801
15,1.2604128580886786,14,3,supermarket,98.45795823986879
16,0.742610946964831,15,3,supermarket,99.20056918683362
17,0.5089083668488197,16,3,supermarket,99.70947755368243
18,0.27174718618140853,17,3,supermarket,99.98122473986385
19,0.0014822573791713194,18,3,supermarket,99.98270699724301
20,0.017293002756998722,19,3,supermarket,100.00000000000001
0,0.0,0,4,supermarket,0.0
1,5.023511474487707,0,4,supermarket,5.023511474487707
2,18.94783067791007,1,4,supermarket,23.971342152397774
3,21.561477694938002,2,4,supermarket,45.53281984733577
